Capacity (MW)	2021-22	2022-23	2023-24	2024-25	2025-26	2026-27	2027-28	2028-29	2029-30	2030-31	2031-32	2032-33	2033-34	2034-35	2035-36	2036-37	2037-38	2038-39	2039-40	2040-41	2041-42
Black Coal	18.336	17.861	15.386	14.826	12.106	11.656	11.656	10.956	10.956	9.816	7.776	5.596	5.596	5596	2016	2016	2016	2016	2016	2016	1272
Brown Coal	4820	4820	4820	4820	4120	3030	1910	1535	1160	1160	1160	1160	1160	1160	1160	0	0	0	0	0	0
CCGT	4.286	4.046	3.866	3.866	3.866	3.866	3.866	3.481	3.481	3.481	3.481	3.481	3.481	3481	2681	2681	2152	2152	1509	1509	1509
Peaking Gas+Liquids	6813	6813	6813	6813	6813	6813	6813	6813	6813	6430	6430	6196	5734	5617	5487	5487	5487	5487	5047	4927	4927
Hydro	6.907	6.907	6.907	6.907	6.907	6.907	6.907	7.297	7.297	7.297	7.297	7.297	7.297	7.297	7.297	7.297	7.210	7.210	7.210	7.210	7.210
Dispatchable Storage	1682	1845	2457	5405	5661	6001	6437	7462	7637	8038	8249	9278	9623	9828	11761	12730	13887	14085	14294	14770	16424
Behind the Meter Storage	582	1.023	1.311	1.765	1.764	1.834	1.997	2.177	2.381	2.579	2.775	2.975	3.188	3.425	3.694	3.988	4.296	4.634	5.001	5.341	5.702
Wind	9005	10093	10319	10444	12237	14210	17161	17455	18038	21200	23206	27637	27519	27663	31457	32836	35247	34638	34937	35341	35293
Solar	5.152	5.942	6.127	6.127	7.775	9.758	11.621	11.666	12.386	13.363	14.423	16.683	19.077	19.364	23.794	24.354	27.438	27.397	27.825	29.485	29.485
Distributed PV	14730	16559	17930	19861	20991	21632	22451	23650	24434	25096	26503	27080	27890	28606	30690	31680	32566	33158	33713	35085	36571
Dispatchable Capacity	43.372	42.909	40.953	43.430	40.348	39.238	38.641	38.691	38.585	37.557	35.825	34.531	34.505	34.695	32.214	32.128	32.778	33.080	32.320	32.787	33.809